metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,0.6706349206349206,0.626984126984127,0.5633725490196079,gandalf,none,none
auroc,0.8793820933165196,0.7940731399747792,0.6367179487179487,gandalf,none,none
sens,0.6603404791929383,0.6157629255989912,0.5601410256410256,gandalf,none,none
spec,0.3360655737704918,0.26229508196721313,0.43566666666666676,gandalf,none,none
ppv,0.6124401913875598,0.5833333333333334,0.5189903381642512,gandalf,none,none
npv,0.9534883720930233,0.8888888888888888,0.6986283643892339,gandalf,none,none
f1,0.6260659694288013,0.5666934952806029,0.48314837830365737,gandalf,none,none
bal-acc,0.6603404791929383,0.6157629255989912,0.5601410256410256,gandalf,none,none
acc,0.5714285714285714,0.5634920634920635,0.6232156862745099,gandalf,assoc,none
auroc,0.6818411097099623,0.6390290037831021,0.7148589743589744,gandalf,assoc,none
sens,0.5775535939470365,0.5708701134930643,0.620474358974359,gandalf,assoc,none
spec,0.7704918032786885,0.8032786885245902,0.5563333333333333,gandalf,assoc,none
ppv,0.6410256410256411,0.6470588235294118,0.6688652392735107,gandalf,assoc,none
npv,0.5402298850574713,0.532608695652174,0.6518395471883844,gandalf,assoc,none
f1,0.557952182952183,0.5424836601307189,0.5959639012100977,gandalf,assoc,none
bal-acc,0.5775535939470365,0.5708701134930643,0.620474358974359,gandalf,assoc,none
acc,0.7857142857142857,0.753968253968254,0.7340392156862745,gandalf,pred,none
auroc,0.8936317780580075,0.830390920554855,0.8085897435897437,gandalf,pred,none
sens,0.7880201765447667,0.7562421185372006,0.7329615384615384,gandalf,pred,none
spec,0.860655737704918,0.8278688524590164,0.6890000000000001,gandalf,pred,none
ppv,0.8454545454545455,0.8090909090909091,0.7428109914791022,gandalf,pred,none
npv,0.7394366197183099,0.7112676056338029,0.7622678669807057,gandalf,pred,none
f1,0.7852272727272727,0.7534090909090909,0.7275302494549741,gandalf,pred,none
bal-acc,0.7880201765447667,0.7562421185372006,0.7329615384615384,gandalf,pred,none
acc,0.6666666666666666,0.626984126984127,0.5432156862745099,gandalf,embed_lgbm,lgbm
auroc,0.7389659520807061,0.6593947036569987,0.6229102564102564,gandalf,embed_lgbm,lgbm
sens,0.6635561160151324,0.6248423707440101,0.5373974358974358,gandalf,embed_lgbm,lgbm
spec,0.5655737704918032,0.5573770491803278,0.3363333333333333,gandalf,embed_lgbm,lgbm
ppv,0.6513157894736842,0.625,0.566722508358182,gandalf,embed_lgbm,lgbm
npv,0.69,0.6296296296296297,0.5290664077849433,gandalf,embed_lgbm,lgbm
f1,0.6618746405980449,0.624119327197715,0.46899218918802765,gandalf,embed_lgbm,lgbm
bal-acc,0.6635561160151324,0.6248423707440101,0.5373974358974358,gandalf,embed_lgbm,lgbm
acc,0.5793650793650794,0.5992063492063492,0.5909019607843138,gandalf,embed_linear,linear
auroc,0.8758511979823456,0.8237704918032788,0.7266794871794872,gandalf,embed_linear,linear
sens,0.5658259773013872,0.5860655737704918,0.5875128205128206,gandalf,embed_linear,linear
spec,0.13934426229508196,0.1721311475409836,0.46733333333333327,gandalf,embed_linear,linear
ppv,0.5512820512820513,0.5627705627705628,0.6434343434343435,gandalf,embed_linear,linear
npv,0.9444444444444444,1.0,0.6238095238095237,gandalf,embed_linear,linear
f1,0.47582417582417585,0.5069639501772466,0.5431204871478095,gandalf,embed_linear,linear
bal-acc,0.5658259773013872,0.5860655737704918,0.5875128205128206,gandalf,embed_linear,linear
acc,0.6587301587301587,0.6031746031746031,0.5516862745098039,gandalf,wrap,none
auroc,0.7395334174022699,0.6561790668348046,0.7575384615384616,gandalf,wrap,none
sens,0.6583858764186633,0.6020176544766709,0.5563076923076923,gandalf,wrap,none
spec,0.6475409836065574,0.5655737704918032,0.728,gandalf,wrap,none
ppv,0.6692307692307692,0.6102941176470589,0.7095652173913044,gandalf,wrap,none
npv,0.6475409836065574,0.5948275862068966,0.535406162464986,gandalf,wrap,none
f1,0.6583858764186633,0.6019460415745246,0.44715116236963315,gandalf,wrap,none
bal-acc,0.6583858764186633,0.6020176544766709,0.5563076923076923,gandalf,wrap,none
acc,1.0,0.4880952380952381,0.484078431372549,knn,none,none
auroc,1.0,0.5504413619167716,0.5904358974358975,knn,none,none
sens,1.0,0.487452711223203,0.4817564102564103,knn,none,none
spec,1.0,0.4672131147540984,0.4096666666666667,knn,none,none
ppv,1.0,0.5038167938931297,0.5076129330439676,knn,none,none
npv,1.0,0.47107438016528924,0.45008843375406843,knn,none,none
f1,1.0,0.4874414644529587,0.4769174559259376,knn,none,none
bal-acc,1.0,0.487452711223203,0.4817564102564103,knn,none,none
acc,0.5873015873015873,0.5238095238095238,0.5118431372549019,knn,assoc,none
auroc,0.6083543505674653,0.514281210592686,0.5719038461538462,knn,assoc,none
sens,0.5825977301387137,0.5182849936948297,0.5031410256410256,knn,assoc,none
