,metric,trainset,holdout,5-fold,model,selection,embed_selector
51,spec,1.0,1.0,0.6970000000000001,gandalf,assoc,none
52,ppv,1.0,1.0,0.8092063492063492,gandalf,assoc,none
53,npv,0.9242424242424242,0.8652482269503546,0.9466666666666667,gandalf,assoc,none
54,f1,0.9603149606299213,0.9244592398592683,0.8177680370148612,gandalf,assoc,none
55,bal-acc,0.9615384615384616,0.926923076923077,0.8331153846153846,gandalf,assoc,none
56,acc,0.9801587301587301,0.9761904761904762,0.7859607843137255,gandalf,pred,none
57,auroc,1.0,1.0,1.0,gandalf,pred,none
58,sens,0.9795081967213115,0.9754098360655737,0.7791666666666668,gandalf,pred,none
59,spec,0.9590163934426229,0.9508196721311475,0.5583333333333333,gandalf,pred,none
60,ppv,0.9629629629629629,0.9558823529411765,0.7571796395325807,gandalf,pred,none
61,npv,1.0,1.0,1.0,gandalf,pred,none
62,f1,0.980105786689824,0.9761167624944714,0.7353589080591348,gandalf,pred,none
63,bal-acc,0.9795081967213115,0.9754098360655737,0.7791666666666668,gandalf,pred,none
64,acc,0.9285714285714286,0.9325396825396826,0.5237647058823529,gandalf,embed_lgbm,lgbm
65,auroc,1.0,1.0,0.8984102564102564,gandalf,embed_lgbm,lgbm
66,sens,0.9262295081967213,0.930327868852459,0.512,gandalf,embed_lgbm,lgbm
67,spec,0.8524590163934426,0.860655737704918,0.22400000000000003,gandalf,embed_lgbm,lgbm
68,ppv,0.8783783783783784,0.8843537414965986,0.5254166666666666,gandalf,embed_lgbm,lgbm
69,npv,1.0,1.0,0.7450980392156863,gandalf,embed_lgbm,lgbm
70,f1,0.927802890431018,0.9318691455016779,0.36275147327778906,gandalf,embed_lgbm,lgbm
71,bal-acc,0.9262295081967213,0.930327868852459,0.512,gandalf,embed_lgbm,lgbm
72,acc,0.5357142857142857,0.5753968253968254,0.5432156862745099,gandalf,embed_linear,linear
73,auroc,1.0,1.0,0.9875,gandalf,embed_linear,linear
74,sens,0.5204918032786885,0.5614754098360656,0.5359999999999999,gandalf,embed_linear,linear
75,spec,0.040983606557377046,0.12295081967213115,0.27199999999999996,gandalf,embed_linear,linear
76,ppv,0.5263157894736842,0.5485232067510548,0.5422128851540616,gandalf,embed_linear,linear
77,npv,1.0,1.0,0.74,gandalf,embed_linear,linear
78,f1,0.38419766494705404,0.4637124843373973,0.39865120236637264,gandalf,embed_linear,linear
79,bal-acc,0.5204918032786885,0.5614754098360656,0.5359999999999999,gandalf,embed_linear,linear
80,acc,1.0,0.7976190476190477,0.7616470588235295,knn,none,none
81,auroc,1.0,0.8552963430012612,0.9026282051282053,knn,none,none
82,sens,1.0,0.7917402269861287,0.7544615384615384,knn,none,none
83,spec,1.0,0.6065573770491803,0.532,knn,none,none
84,ppv,1.0,0.7257142857142858,0.6902874302874302,knn,none,none
85,npv,1.0,0.961038961038961,0.96,knn,none,none
86,f1,1.0,0.7882527391053629,0.7458209153476208,knn,none,none
87,bal-acc,1.0,0.7917402269861287,0.7544615384615384,knn,none,none
88,acc,1.0,0.7261904761904762,0.7658823529411765,knn,assoc,none
89,auroc,1.0,0.8395334174022699,0.8557307692307694,knn,assoc,none
90,sens,1.0,0.7227616645649433,0.761820512820513,knn,assoc,none
91,spec,1.0,0.6147540983606558,0.6313333333333333,knn,assoc,none
92,ppv,1.0,0.6967741935483871,0.721452466291176,knn,assoc,none
93,npv,1.0,0.7731958762886598,0.8594082125603866,knn,assoc,none
94,f1,1.0,0.7214131218457102,0.7593224912666131,knn,assoc,none
95,bal-acc,1.0,0.7227616645649433,0.761820512820513,knn,assoc,none
96,acc,0.9166666666666666,0.9206349206349206,0.8730196078431373,knn,pred,none
97,auroc,0.999936948297604,0.999810844892812,0.9942435897435896,knn,pred,none
98,sens,0.9139344262295082,0.9180327868852459,0.8688333333333332,knn,pred,none
99,spec,0.8278688524590164,0.8360655737704918,0.7376666666666666,knn,pred,none
100,ppv,0.8609271523178808,0.8666666666666667,0.8038662239089185,knn,pred,none
101,npv,1.0,1.0,1.0,knn,pred,none
102,f1,0.9155482501635734,0.9196428571428572,0.8693722946768151,knn,pred,none
103,bal-acc,0.9139344262295082,0.9180327868852459,0.8688333333333332,knn,pred,none
104,acc,0.9801587301587301,0.9920634920634921,0.968235294117647,knn,embed_lgbm,lgbm
105,auroc,0.9997477931904162,1.0,1.0,knn,embed_lgbm,lgbm
106,sens,0.9795081967213115,0.9918032786885246,0.9671666666666667,knn,embed_lgbm,lgbm
107,spec,0.9590163934426229,0.9836065573770492,0.9343333333333333,knn,embed_lgbm,lgbm
108,ppv,0.9629629629629629,0.9848484848484849,0.9442328042328043,knn,embed_lgbm,lgbm
109,npv,1.0,1.0,1.0,knn,embed_lgbm,lgbm
110,f1,0.980105786689824,0.9920509747019115,0.9679538025892043,knn,embed_lgbm,lgbm
