,metric,trainset,holdout,5-fold,model,selection,embed_selector
33,auroc,0.5225777009175193,0.5040201165993978,0.5593933727337089,dummy,embed_linear,linear
34,sens,0.45568525724167747,0.4948427189441989,0.48601536768553577,dummy,embed_linear,linear
35,spec,0.4444444444444444,0.45867768595041325,0.4834183673469387,dummy,embed_linear,linear
36,ppv,0.47058823529411764,0.5111940298507462,0.5019898266635259,dummy,embed_linear,linear
37,npv,0.44081632653061226,0.47844827586206895,0.47009312404206965,dummy,embed_linear,linear
38,f1,0.4556864754098361,0.49463348895413195,0.4856034791178894,dummy,embed_linear,linear
39,bal-acc,0.45568525724167747,0.4948427189441989,0.48601536768553577,dummy,embed_linear,linear
40,acc,0.504,0.494,0.48,dummy,wrap,none
41,auroc,0.5,0.5,0.5,dummy,wrap,none
42,sens,0.5036108308914189,0.4943141777179832,0.47950641795179616,dummy,wrap,none
43,spec,0.4897119341563786,0.5041322314049587,0.4670068027210884,dummy,wrap,none
44,ppv,0.5175097276264592,0.5102040816326531,0.49598795030584775,dummy,wrap,none
45,npv,0.4897119341563786,0.47843137254901963,0.46230382375934936,dummy,wrap,none
46,f1,0.5036108308914189,0.4939817833442004,0.47804689941528516,dummy,wrap,none
47,bal-acc,0.5036108308914189,0.4943141777179832,0.47950641795179616,dummy,wrap,none
48,acc,0.914,0.724,0.7080000000000001,gandalf,none,none
49,auroc,0.973371122960401,0.8348869242103915,0.8206030489118724,gandalf,none,none
50,sens,0.914997357928616,0.7265359728361842,0.7090443869855634,gandalf,none,none
51,spec,0.9506172839506173,0.8057851239669421,0.7119047619047619,gandalf,none,none
52,ppv,0.9495798319327731,0.780373831775701,0.7358966834081251,gandalf,none,none
53,npv,0.8816793893129771,0.6818181818181818,0.6990917733854329,gandalf,none,none
54,f1,0.913991399139914,0.7231317411402157,0.7039777826437803,gandalf,none,none
55,bal-acc,0.914997357928616,0.7265359728361842,0.7090443869855634,gandalf,none,none
56,acc,0.838,0.72,0.694,gandalf,assoc,none
57,auroc,0.9382235672767449,0.8412454353257737,0.8192418313479239,gandalf,assoc,none
58,sens,0.8391619029318986,0.7220193478121597,0.6935420321974944,gandalf,assoc,none
59,spec,0.8806584362139918,0.7851239669421488,0.6578231292517007,gandalf,assoc,none
60,ppv,0.8760683760683761,0.7657657657657657,0.7041450216450216,gandalf,assoc,none
61,npv,0.8045112781954887,0.6834532374100719,0.6968743134260376,gandalf,assoc,none
62,f1,0.8379474949883763,0.719551282051282,0.6898238184256243,gandalf,assoc,none
63,bal-acc,0.8391619029318986,0.7220193478121597,0.6935420321974944,gandalf,assoc,none
64,acc,0.86,0.758,0.658,gandalf,pred,none
65,auroc,0.9444204256136811,0.8683291690691268,0.8245083610367223,gandalf,pred,none
66,sens,0.858433011481001,0.7571753475558972,0.6506812340320743,gandalf,pred,none
67,spec,0.8024691358024691,0.731404958677686,0.4647108843537415,gandalf,pred,none
68,ppv,0.8303886925795053,0.7565543071161048,0.6652810022949959,gandalf,pred,none
69,npv,0.8986175115207373,0.759656652360515,0.795457012592271,gandalf,pred,none
70,f1,0.8590982286634461,0.7573934837092732,0.5938113700905191,gandalf,pred,none
71,bal-acc,0.858433011481001,0.7571753475558972,0.6506812340320743,gandalf,pred,none
72,acc,0.628,0.604,0.6559999999999999,gandalf,embed_lgbm,lgbm
73,auroc,0.6890522169380795,0.6727849317701327,0.6929269784837012,gandalf,embed_lgbm,lgbm
74,sens,0.6268114201534003,0.6033378179255557,0.6590676655277494,gandalf,embed_lgbm,lgbm
75,spec,0.5843621399176955,0.5826446280991735,0.7283163265306122,gandalf,embed_lgbm,lgbm
76,ppv,0.63003663003663,0.6145038167938931,0.7112937062937063,gandalf,embed_lgbm,lgbm
77,npv,0.6255506607929515,0.592436974789916,0.626814753697152,gandalf,embed_lgbm,lgbm
78,f1,0.6266559614612606,0.6033653846153846,0.6528461105881694,gandalf,embed_lgbm,lgbm
79,bal-acc,0.6268114201534003,0.6033378179255557,0.6590676655277494,gandalf,embed_lgbm,lgbm
80,acc,0.826,0.718,0.726,gandalf,embed_linear,linear
81,auroc,0.9300091271556901,0.835255301428663,0.8256566087973651,gandalf,embed_linear,linear
82,sens,0.8270403996733439,0.7186719200461272,0.7255977390956383,gandalf,embed_linear,linear
83,spec,0.8641975308641975,0.7396694214876033,0.699234693877551,gandalf,embed_linear,linear
84,ppv,0.8601694915254238,0.7407407407407407,0.7332426681053215,gandalf,embed_linear,linear
85,npv,0.7954545454545454,0.6964980544747081,0.7295360427257667,gandalf,embed_linear,linear
86,f1,0.8259658893143056,0.717998871995488,0.7236863097206103,gandalf,embed_linear,linear
87,bal-acc,0.8270403996733439,0.7186719200461272,0.7255977390956383,gandalf,embed_linear,linear
88,acc,0.508,0.486,0.626,gandalf,wrap,none
89,auroc,0.7943347584506253,0.7116086872957909,0.702280912364946,gandalf,wrap,none
90,sens,0.5207282509487439,0.5001441476071498,0.6220139979068551,gandalf,wrap,none
91,spec,0.9753086419753086,0.9421487603305785,0.447874149659864,gandalf,wrap,none
92,ppv,0.7391304347826086,0.5172413793103449,0.6986060606060607,gandalf,wrap,none
93,npv,0.4968553459119497,0.4840764331210191,0.8521787093215665,gandalf,wrap,none
94,f1,0.3898809523809524,0.3720404044353006,0.5274036456019019,gandalf,wrap,none
95,bal-acc,0.5207282509487439,0.5001441476071498,0.6220139979068551,gandalf,wrap,none
96,acc,1.0,0.518,0.504,knn,none,none
97,auroc,1.0,0.5180825164968929,0.5294679410225628,knn,none,none
98,sens,1.0,0.5180825164968929,0.5029654169360052,knn,none,none
99,spec,1.0,0.5206611570247934,0.4630952380952381,knn,none,none
100,ppv,1.0,0.5341365461847389,0.5207423320205276,knn,none,none
101,npv,1.0,0.50199203187251,0.48467991892428497,knn,none,none
102,f1,1.0,0.5179055094798581,0.5005381266780196,knn,none,none
103,bal-acc,1.0,0.5180825164968929,0.5029654169360052,knn,none,none
104,acc,0.722,0.536,0.5,knn,assoc,none
105,auroc,0.7839826423916351,0.5389759113332052,0.5459715617016037,knn,assoc,none
106,sens,0.7219500088069046,0.5360369017874302,0.4989778603749192,knn,assoc,none
107,spec,0.720164609053498,0.5371900826446281,0.46726190476190477,knn,assoc,none
108,ppv,0.7322834645669292,0.552,0.5156638134760974,knn,assoc,none
