metric,trainset,holdout,5-fold,model,selection,embed_selector
bal-acc,0.858433011481001,0.7571753475558972,0.6506812340320743,gandalf,pred,none
acc,0.628,0.604,0.6559999999999999,gandalf,embed_lgbm,lgbm
auroc,0.6890522169380795,0.6727849317701327,0.6929269784837012,gandalf,embed_lgbm,lgbm
sens,0.6268114201534003,0.6033378179255557,0.6590676655277494,gandalf,embed_lgbm,lgbm
spec,0.5843621399176955,0.5826446280991735,0.7283163265306122,gandalf,embed_lgbm,lgbm
ppv,0.63003663003663,0.6145038167938931,0.7112937062937063,gandalf,embed_lgbm,lgbm
npv,0.6255506607929515,0.592436974789916,0.626814753697152,gandalf,embed_lgbm,lgbm
f1,0.6266559614612606,0.6033653846153846,0.6528461105881694,gandalf,embed_lgbm,lgbm
bal-acc,0.6268114201534003,0.6033378179255557,0.6590676655277494,gandalf,embed_lgbm,lgbm
acc,0.826,0.718,0.726,gandalf,embed_linear,linear
auroc,0.9300091271556901,0.835255301428663,0.8256566087973651,gandalf,embed_linear,linear
sens,0.8270403996733439,0.7186719200461272,0.7255977390956383,gandalf,embed_linear,linear
spec,0.8641975308641975,0.7396694214876033,0.699234693877551,gandalf,embed_linear,linear
ppv,0.8601694915254238,0.7407407407407407,0.7332426681053215,gandalf,embed_linear,linear
npv,0.7954545454545454,0.6964980544747081,0.7295360427257667,gandalf,embed_linear,linear
f1,0.8259658893143056,0.717998871995488,0.7236863097206103,gandalf,embed_linear,linear
bal-acc,0.8270403996733439,0.7186719200461272,0.7255977390956383,gandalf,embed_linear,linear
acc,0.508,0.486,0.626,gandalf,wrap,none
auroc,0.7943347584506253,0.7116086872957909,0.702280912364946,gandalf,wrap,none
sens,0.5207282509487439,0.5001441476071498,0.6220139979068551,gandalf,wrap,none
spec,0.9753086419753086,0.9421487603305785,0.447874149659864,gandalf,wrap,none
ppv,0.7391304347826086,0.5172413793103449,0.6986060606060607,gandalf,wrap,none
npv,0.4968553459119497,0.4840764331210191,0.8521787093215665,gandalf,wrap,none
f1,0.3898809523809524,0.3720404044353006,0.5274036456019019,gandalf,wrap,none
bal-acc,0.5207282509487439,0.5001441476071498,0.6220139979068551,gandalf,wrap,none
acc,1.0,0.518,0.504,knn,none,none
auroc,1.0,0.5180825164968929,0.5294679410225628,knn,none,none
sens,1.0,0.5180825164968929,0.5029654169360052,knn,none,none
spec,1.0,0.5206611570247934,0.4630952380952381,knn,none,none
ppv,1.0,0.5341365461847389,0.5207423320205276,knn,none,none
npv,1.0,0.50199203187251,0.48467991892428497,knn,none,none
f1,1.0,0.5179055094798581,0.5005381266780196,knn,none,none
bal-acc,1.0,0.5180825164968929,0.5029654169360052,knn,none,none
acc,0.722,0.536,0.5,knn,assoc,none
auroc,0.7839826423916351,0.5389759113332052,0.5459715617016037,knn,assoc,none
sens,0.7219500088069046,0.5360369017874302,0.4989778603749192,knn,assoc,none
spec,0.720164609053498,0.5371900826446281,0.46726190476190477,knn,assoc,none
ppv,0.7322834645669292,0.552,0.5156638134760974,knn,assoc,none
npv,0.7113821138211383,0.52,0.48062661606075147,knn,assoc,none
f1,0.7218653828452971,0.5358811855835094,0.4959757958936592,knn,assoc,none
bal-acc,0.7219500088069046,0.5360369017874302,0.4989778603749192,knn,assoc,none
acc,0.614,0.548,0.5479999999999999,knn,pred,none
auroc,0.6882195641382844,0.5962825933756165,0.5461272970726752,knn,pred,none
sens,0.6117356007109573,0.5454865782561342,0.5411168313479238,knn,pred,none
spec,0.5308641975308642,0.4669421487603306,0.32227891156462585,knn,pred,none
ppv,0.6095890410958904,0.5551724137931034,0.544372727593632,knn,pred,none
npv,0.6201923076923077,0.5380952380952381,0.5592692939244663,knn,pred,none
f1,0.6102569073380748,0.5437956204379562,0.5211891103395576,knn,pred,none
bal-acc,0.6117356007109573,0.5454865782561342,0.5411168313479238,knn,pred,none
acc,0.596,0.554,0.528,knn,embed_lgbm,lgbm
auroc,0.6141695088949738,0.5453504388493818,0.5277176255117432,knn,embed_lgbm,lgbm
sens,0.5933291700693344,0.5506598757127299,0.5205811170622096,knn,embed_lgbm,lgbm
spec,0.49794238683127573,0.4462809917355372,0.28120748299319726,knn,embed_lgbm,lgbm
ppv,0.5919732441471572,0.5577557755775577,0.5302836365324063,knn,embed_lgbm,lgbm
npv,0.6019900497512438,0.5482233502538071,0.5273852609755247,knn,embed_lgbm,lgbm
f1,0.5908678462635297,0.5472614392619752,0.4919820171134436,knn,embed_lgbm,lgbm
bal-acc,0.5933291700693344,0.5506598757127299,0.5205811170622096,knn,embed_lgbm,lgbm
acc,0.594,0.574,0.504,knn,embed_linear,linear
auroc,0.6311828473523242,0.5731228778268947,0.5286719976452119,knn,embed_linear,linear
sens,0.5927286993002514,0.5719616887692998,0.49984089789762065,knn,embed_linear,linear
spec,0.5473251028806584,0.5082644628099173,0.37185374149659867,knn,embed_linear,linear
ppv,0.5985401459854015,0.5795053003533569,0.5129014020805066,knn,embed_linear,linear
npv,0.588495575221239,0.5668202764976958,0.4923022713720388,knn,embed_linear,linear
f1,0.5924333136577002,0.571116185229483,0.48896000935488126,knn,embed_linear,linear
bal-acc,0.5927286993002514,0.5719616887692998,0.49984089789762065,knn,embed_linear,linear
acc,1.0,0.548,0.5200000000000001,knn,wrap,none
auroc,1.0,0.5218063296815939,0.5387275102348632,knn,wrap,none
sens,1.0,0.5466397591133321,0.5179352510234863,knn,wrap,none
spec,1.0,0.5041322314049587,0.44642857142857145,knn,wrap,none
ppv,1.0,0.5588235294117647,0.533233469286862,knn,wrap,none
npv,1.0,0.5350877192982456,0.5025834150593875,knn,wrap,none
f1,1.0,0.546366920915295,0.5150881433560721,knn,wrap,none
bal-acc,1.0,0.5466397591133321,0.5179352510234863,knn,wrap,none
acc,0.89,0.764,0.74,lgbm,none,none
auroc,0.9545403596419593,0.8734704337241335,0.862731631113984,lgbm,none,none
sens,0.8888488575042834,0.7629893010442693,0.7392383876627574,lgbm,none,none
spec,0.8477366255144033,0.731404958677686,0.6950680272108845,lgbm,none,none
ppv,0.8659420289855072,0.7592592592592593,0.739974358974359,lgbm,none,none
npv,0.9196428571428571,0.7695652173913043,0.758600812231247,lgbm,none,none
f1,0.8895187436473277,0.7632575757575757,0.7365097266902128,lgbm,none,none
bal-acc,0.8888488575042834,0.7629893010442693,0.7392383876627574,lgbm,none,none
acc,0.894,0.766,0.738,lgbm,assoc,none
auroc,0.9663736369313541,0.8697386123390352,0.862254517191492,lgbm,assoc,none
sens,0.893188259595523,0.7653116791594592,0.7373247375873426,lgbm,assoc,none
spec,0.8641975308641975,0.743801652892562,0.699234693877551,lgbm,assoc,none
ppv,0.8777777777777778,0.7660377358490567,0.7380462184873949,lgbm,assoc,none
npv,0.9130434782608695,0.7659574468085106,0.7522174254317112,lgbm,assoc,none
f1,0.8936900000401169,0.7655038060536095,0.7351664102117591,lgbm,assoc,none
bal-acc,0.893188259595523,0.7653116791594592,0.7373247375873426,lgbm,assoc,none
acc,0.972,0.748,0.744,lgbm,pred,none
auroc,0.9971978030776129,0.8540585559613043,0.8406174969987996,lgbm,pred,none
sens,0.971641767145442,0.7474854250752772,0.7432628820759073,lgbm,pred,none
spec,0.9588477366255144,0.731404958677686,0.7068877551020408,lgbm,pred,none
ppv,0.9619771863117871,0.7519083969465649,0.7467805111796395,lgbm,pred,none
npv,0.9831223628691983,0.7436974789915967,0.7506042982019508,lgbm,pred,none
f1,0.9719551282051282,0.7475961538461539,0.7418210889648016,lgbm,pred,none
bal-acc,0.971641767145442,0.7474854250752772,0.7432628820759073,lgbm,pred,none
acc,0.802,0.67,0.6519999999999999,lgbm,embed_lgbm,lgbm
auroc,0.908952618853181,0.7169421487603306,0.6994202488687783,lgbm,embed_lgbm,lgbm
sens,0.802461129525548,0.671519636107374,0.6545899128882322,lgbm,embed_lgbm,lgbm
spec,0.8189300411522634,0.71900826446281,0.7158163265306122,lgbm,embed_lgbm,lgbm
ppv,0.8211382113821138,0.7030567685589519,0.703128011398673,lgbm,embed_lgbm,lgbm
npv,0.7834645669291339,0.6420664206642066,0.6207434355970989,lgbm,embed_lgbm,lgbm
f1,0.8019928717433829,0.6697767690959089,0.6502756466156718,lgbm,embed_lgbm,lgbm
bal-acc,0.802461129525548,0.671519636107374,0.6545899128882322,lgbm,embed_lgbm,lgbm
acc,0.9,0.764,0.7339999999999999,lgbm,embed_linear,linear
auroc,0.9656370594546124,0.8623390351720162,0.8533629798073076,lgbm,embed_linear,linear
sens,0.8991369233479047,0.7626049074252035,0.7331861590790162,lgbm,embed_linear,linear
spec,0.8683127572016461,0.71900826446281,0.6907312925170068,lgbm,embed_linear,linear
ppv,0.8819188191881919,0.7536231884057971,0.7313298981720033,lgbm,embed_linear,linear
npv,0.9213973799126638,0.7767857142857143,0.7467097583219335,lgbm,embed_linear,linear
f1,0.8996854134565999,0.7629036665541464,0.7318880594619189,lgbm,embed_linear,linear
bal-acc,0.8991369233479047,0.7626049074252035,0.7331861590790162,lgbm,embed_linear,linear
acc,0.77,0.75,0.752,lgbm,wrap,none
auroc,0.8475204560375336,0.7561502979050548,0.7687527895773695,lgbm,wrap,none
sens,0.7633744855967078,0.7417355371900827,0.7440851340536214,lgbm,wrap,none
spec,0.5267489711934157,0.4834710743801653,0.4920918367346939,lgbm,wrap,none
ppv,0.6908602150537635,0.6736292428198434,0.6792394045232022,lgbm,wrap,none
npv,1.0,1.0,0.9923076923076923,lgbm,wrap,none
f1,0.753598532732828,0.7284013923231024,0.7293169868461561,lgbm,wrap,none
bal-acc,0.7633744855967078,0.7417355371900827,0.7440851340536214,lgbm,wrap,none
acc,0.814,0.744,0.7380000000000001,lr,none,none
auroc,0.9136763222366335,0.869146005509642,0.8630463723951118,lr,none,none
sens,0.812340875246193,0.742328144019476,0.7374330501431341,lr,none,none
spec,0.7530864197530864,0.6900826446280992,0.6991496598639457,lr,none,none
ppv,0.7887323943661971,0.7321428571428571,0.7391254866726565,lr,none,none
npv,0.8472222222222222,0.759090909090909,0.7526432894490547,lr,none,none
f1,0.8127408696072391,0.74251275366517,0.7352284530467809,lr,none,none
bal-acc,0.812340875246193,0.742328144019476,0.7374330501431341,lr,none,none
acc,0.818,0.746,0.74,lr,assoc,none
auroc,0.9138044226673712,0.8699948747517459,0.8616063733185582,lr,assoc,none
sens,0.8163440137067461,0.7443942597219553,0.7395163834764675,lr,assoc,none
spec,0.757201646090535,0.6942148760330579,0.7033163265306122,lr,assoc,none
ppv,0.7922535211267606,0.7347670250896058,0.7416279008229472,lr,assoc,none
npv,0.8518518518518519,0.7601809954751131,0.7533750880902044,lr,assoc,none
f1,0.8167679476802017,0.7446014374715945,0.7374857324000286,lr,assoc,none
bal-acc,0.8163440137067461,0.7443942597219553,0.7395163834764675,lr,assoc,none
acc,0.812,0.74,0.7460000000000001,lr,pred,none
auroc,0.9095931210068694,0.8659267089499647,0.8593601863822453,lr,pred,none
sens,0.8102832620774687,0.7375552565827408,0.7448331255579156,lr,pred,none
spec,0.7489711934156379,0.6611570247933884,0.6866496598639455,lr,pred,none
ppv,0.7859649122807018,0.7191780821917808,0.7359173756964557,lr,pred,none
npv,0.8465116279069768,0.7692307692307693,0.7772221247964498,lr,pred,none
f1,0.8106640455050839,0.7373737373737375,0.7427034128421155,lr,pred,none
bal-acc,0.8102832620774687,0.7375552565827408,0.7448331255579156,lr,pred,none
acc,0.682,0.7,0.6779999999999999,lr,embed_lgbm,lgbm
auroc,0.7402763766793166,0.70971875200205,0.7057378720719056,lr,embed_lgbm,lgbm
sens,0.6866263150309844,0.7058427830098021,0.6839191445809094,lr,embed_lgbm,lgbm
spec,0.8518518518518519,0.8884297520661157,0.8636904761904761,lr,embed_lgbm,lgbm
ppv,0.788235294117647,0.8333333333333334,0.8024743230625584,lr,embed_lgbm,lgbm
npv,0.6272727272727273,0.636094674556213,0.6200650044400045,lr,embed_lgbm,lgbm
f1,0.6750738747133906,0.6921182266009853,0.6695872286773845,lr,embed_lgbm,lgbm
bal-acc,0.6866263150309844,0.7058427830098021,0.6839191445809094,lr,embed_lgbm,lgbm
acc,0.822,0.748,0.742,lr,embed_linear,linear
auroc,0.9140606235288465,0.8690018579024922,0.8664949633699633,lr,embed_linear,linear
sens,0.8206834157979856,0.7464603754244346,0.7419954520269647,lr,embed_linear,linear
spec,0.7736625514403292,0.6983471074380165,0.719812925170068,lr,embed_linear,linear
ppv,0.802158273381295,0.737410071942446,0.749973207249803,lr,embed_linear,linear
npv,0.8468468468468469,0.7612612612612613,0.749946723312941,lr,embed_linear,linear
f1,0.8211235051753593,0.7466868244981987,0.7394709026214381,lr,embed_linear,linear
bal-acc,0.8206834157979856,0.7464603754244346,0.7419954520269647,lr,embed_linear,linear
acc,0.77,0.75,0.748,lr,wrap,none
auroc,0.8007878176490371,0.7650233839451599,0.772072867608582,lr,wrap,none
sens,0.7633744855967078,0.7417355371900827,0.7406395250407856,lr,wrap,none
spec,0.5267489711934157,0.4834710743801653,0.5045068027210885,lr,wrap,none
ppv,0.6908602150537635,0.6736292428198434,0.6804493808775268,lr,wrap,none
npv,1.0,1.0,0.9523809523809523,lr,wrap,none
f1,0.753598532732828,0.7284013923231024,0.7275035667136184,lr,wrap,none
bal-acc,0.7633744855967078,0.7417355371900827,0.7406395250407856,lr,wrap,none
acc,0.908,0.752,0.742,rf,none,none
auroc,0.9646763062240796,0.8634121340252419,0.8472716009480715,rf,none,none
sens,0.9072552881459064,0.7517457876865911,0.7405958537261058,rf,none,none
spec,0.8806584362139918,0.743801652892562,0.6784013605442176,rf,none,none
ppv,0.8921933085501859,0.7596899224806202,0.7312593089012216,rf,none,none
npv,0.9264069264069265,0.743801652892562,0.7709227477137423,rf,none,none
f1,0.9077505575075002,0.7517457876865911,0.7381293728557327,rf,none,none
bal-acc,0.9072552881459064,0.7517457876865911,0.7405958537261058,rf,none,none
acc,0.944,0.764,0.732,rf,assoc,none
auroc,0.9860690781572753,0.8725574988788519,0.8519969526272048,rf,assoc,none
sens,0.9432835342908841,0.7636299570760459,0.7317532782343708,rf,assoc,none
spec,0.9176954732510288,0.7520661157024794,0.7073979591836734,rf,assoc,none
ppv,0.9256505576208178,0.7692307692307693,0.7422786561264821,rf,assoc,none
npv,0.9653679653679653,0.7583333333333333,0.735438221276931,rf,assoc,none
f1,0.943848165439348,0.7636937470962367,0.7290309100742638,rf,assoc,none
bal-acc,0.9432835342908841,0.7636299570760459,0.7317532782343708,rf,assoc,none
acc,0.91,0.752,0.74,rf,pred,none
auroc,0.9734031480680854,0.8662950861682363,0.8495093229599533,rf,pred,none
sens,0.9089766376839442,0.7509770004484593,0.738224712962108,rf,pred,none
spec,0.8724279835390947,0.71900826446281,0.6698129251700681,rf,pred,none
ppv,0.8868613138686131,0.7481481481481481,0.726646722653001,rf,pred,none
npv,0.9380530973451328,0.7565217391304347,0.7668143387011311,rf,pred,none
f1,0.9096527049980123,0.7512198253723678,0.736582129064803,rf,pred,none
bal-acc,0.9089766376839442,0.7509770004484593,0.738224712962108,rf,pred,none
acc,0.856,0.682,0.6599999999999999,rf,embed_lgbm,lgbm
auroc,0.9434436598293061,0.724357742328144,0.7054186097515929,rf,embed_lgbm,lgbm
sens,0.8563353669276713,0.6843007239413159,0.6635771616338844,rf,embed_lgbm,lgbm
spec,0.8683127572016461,0.756198347107438,0.7647108843537416,rf,embed_lgbm,lgbm
ppv,0.8714859437751004,0.728110599078341,0.7223694143204827,rf,embed_lgbm,lgbm
npv,0.8406374501992032,0.6466431095406361,0.6226697271453432,rf,embed_lgbm,lgbm
f1,0.8559792610135859,0.681203007518797,0.6570370399345095,rf,embed_lgbm,lgbm
bal-acc,0.8563353669276713,0.6843007239413159,0.6635771616338844,rf,embed_lgbm,lgbm
acc,0.952,0.754,0.74,rf,embed_linear,linear
auroc,0.993290739940113,0.8611698379140239,0.8433522447440515,rf,embed_linear,linear
sens,0.9511777233350946,0.7517618040873855,0.738144873333949,rf,embed_linear,linear
spec,0.9218106995884774,0.6818181818181818,0.661734693877551,rf,embed_linear,linear
ppv,0.9298892988929889,0.7335640138408305,0.7247883055911225,rf,embed_linear,linear
npv,0.9781659388646288,0.7819905213270142,0.7756966213862764,rf,embed_linear,linear
f1,0.951848998459168,0.7518069663547102,0.7358578784084191,rf,embed_linear,linear
bal-acc,0.9511777233350946,0.7517618040873855,0.738144873333949,rf,embed_linear,linear
acc,0.77,0.75,0.75,rf,wrap,none
auroc,0.8561432162815648,0.7449147927477737,0.7825262797426664,rf,wrap,none
sens,0.7633744855967078,0.7417355371900827,0.7418792517006803,rf,wrap,none
spec,0.5267489711934157,0.4834710743801653,0.4837585034013605,rf,wrap,none
ppv,0.6908602150537635,0.6736292428198434,0.6770104124789492,rf,wrap,none
npv,1.0,1.0,1.0,rf,wrap,none
f1,0.753598532732828,0.7284013923231024,0.7256030914119151,rf,wrap,none
bal-acc,0.7633744855967078,0.7417355371900827,0.7418792517006803,rf,wrap,none
acc,0.798,0.732,0.756,sgd,none,none
auroc,0.8436694368384814,0.7913223140495868,0.8113498764890572,sgd,none,none
sens,0.798009639557413,0.7321096803126401,0.756620532828516,sgd,none,none
spec,0.7983539094650206,0.7355371900826446,0.7650510204081633,sgd,none,none
ppv,0.8070866141732284,0.746031746031746,0.777747582205029,sgd,none,none
npv,0.7886178861788617,0.717741935483871,0.7453848185357618,sgd,none,none
f1,0.7979021846573742,0.7318927571028412,0.7545560475031273,sgd,none,none
bal-acc,0.798009639557413,0.7321096803126401,0.756620532828516,sgd,none,none
acc,0.78,0.722,0.7360000000000001,sgd,assoc,none
auroc,0.8565275175737779,0.8066019604074571,0.8287652561024409,sgd,assoc,none
sens,0.780051560423372,0.7225478890383753,0.7358724258934343,sgd,assoc,none
spec,0.7818930041152263,0.7396694214876033,0.7195578231292517,sgd,assoc,none
ppv,0.7905138339920948,0.7428571428571429,0.746985455578806,sgd,assoc,none
npv,0.7692307692307693,0.7019607843137254,0.7458133811383453,sgd,assoc,none
f1,0.7799119647859143,0.721989991639699,0.7333808815690552,sgd,assoc,none
bal-acc,0.780051560423372,0.7225478890383753,0.7358724258934343,sgd,assoc,none
acc,0.78,0.742,0.728,sgd,pred,none
auroc,0.8528606427439113,0.814882439618169,0.8421396443192661,sgd,pred,none
sens,0.7798273846695809,0.7424402588250368,0.7283778896173854,sgd,pred,none
spec,0.7736625514403292,0.756198347107438,0.7277210884353741,sgd,pred,none
ppv,0.7859922178988327,0.7611336032388664,0.741837582525943,sgd,pred,none
npv,0.7736625514403292,0.7233201581027668,0.720338852522141,sgd,pred,none
f1,0.7798273846695809,0.741974197419742,0.7271911129864618,sgd,pred,none
bal-acc,0.7798273846695809,0.7424402588250368,0.7283778896173854,sgd,pred,none
acc,0.658,0.636,0.662,sgd,embed_lgbm,lgbm
auroc,0.6968503306592368,0.6718559805240567,0.7005424285098654,sgd,embed_lgbm,lgbm
sens,0.6580118813149509,0.6356268819270934,0.663983093237295,sgd,embed_lgbm,lgbm
spec,0.6584362139917695,0.6239669421487604,0.7152210884353742,sgd,embed_lgbm,lgbm
ppv,0.6706349206349206,0.6472868217054264,0.700463337831759,sgd,embed_lgbm,lgbm
npv,0.6451612903225806,0.6239669421487604,0.6363832929576267,sgd,embed_lgbm,lgbm
f1,0.6578891560865721,0.6356268819270934,0.6602429003744794,sgd,embed_lgbm,lgbm
bal-acc,0.6580118813149509,0.6356268819270934,0.663983093237295,sgd,embed_lgbm,lgbm
acc,0.784,0.732,0.75,sgd,embed_linear,linear
auroc,0.7842468495300317,0.7327503363444167,0.7545025702588728,sgd,embed_linear,linear
sens,0.7839426110070296,0.7327503363444168,0.751421914919814,sgd,embed_linear,linear
spec,0.7818930041152263,0.756198347107438,0.7778061224489796,sgd,embed_linear,linear
ppv,0.792156862745098,0.756198347107438,0.7844011118904737,sgd,embed_linear,linear
npv,0.7755102040816326,0.7093023255813954,0.7329397254374376,sgd,embed_linear,linear
f1,0.783875512295082,0.732,0.7483333155247995,sgd,embed_linear,linear
bal-acc,0.7839426110070296,0.7327503363444168,0.751421914919814,sgd,embed_linear,linear
acc,0.694,0.626,0.672,sgd,wrap,none
auroc,0.7187234792076989,0.6811294765840221,0.7230128108935883,sgd,wrap,none
sens,0.6932555123216602,0.6260650906528284,0.6725478652999662,sgd,wrap,none
spec,0.6666666666666666,0.628099173553719,0.6739795918367347,sgd,wrap,none
ppv,0.6954887218045113,0.6414342629482072,0.6887892532139246,sgd,wrap,none
npv,0.6923076923076923,0.6104417670682731,0.676187134502924,sgd,wrap,none
f1,0.6933511309931816,0.6258787847262512,0.6690371878518393,sgd,wrap,none
bal-acc,0.6932555123216602,0.6260650906528284,0.6725478652999662,sgd,wrap,none
