,metric,trainset,holdout,5-fold,model,selection,embed_selector
0,acc,0.5185185185185185,0.5326633165829145,0.4366666666666667,dummy,none,none
1,auroc,0.5,0.5,0.5,dummy,none,none
2,sens,0.5189950980392157,0.5322417626844552,0.43600250626566417,dummy,none,none
3,spec,0.5347222222222222,0.5154639175257731,0.3910526315789474,dummy,none,none
4,ppv,0.5347222222222222,0.5436893203883495,0.45409523809523805,dummy,none,none
5,npv,0.5032679738562091,0.5208333333333334,0.41516347687400323,dummy,none,none
6,f1,0.5185185185185185,0.5322380892202705,0.43280307554376873,dummy,none,none
7,bal-acc,0.5189950980392157,0.5322417626844552,0.43600250626566417,dummy,none,none
8,acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,assoc,none
9,auroc,0.5,0.5,0.5,dummy,assoc,none
10,sens,0.5,0.5,0.5,dummy,assoc,none
11,spec,0.0,0.0,0.0,dummy,assoc,none
12,ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,assoc,none
13,npv,,,,dummy,assoc,none
14,f1,0.34,0.3388704318936877,0.3388348615356117,dummy,assoc,none
15,bal-acc,0.5,0.5,0.5,dummy,assoc,none
16,acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,pred,none
17,auroc,0.5,0.5,0.5,dummy,pred,none
18,sens,0.5,0.5,0.5,dummy,pred,none
19,spec,0.0,0.0,0.0,dummy,pred,none
20,ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,pred,none
21,npv,,,,dummy,pred,none
22,f1,0.34,0.3388704318936877,0.3388348615356117,dummy,pred,none
23,bal-acc,0.5,0.5,0.5,dummy,pred,none
24,acc,0.531986531986532,0.5125628140703518,0.5332051282051282,dummy,embed_lgbm,lgbm
25,auroc,0.5349264705882354,0.5237012330705478,0.5574436090225563,dummy,embed_lgbm,lgbm
26,sens,0.5310457516339869,0.5118758843743683,0.534874686716792,dummy,embed_lgbm,lgbm
27,spec,0.5,0.4845360824742268,0.5373684210526315,dummy,embed_lgbm,lgbm
28,ppv,0.5443037974683544,0.5238095238095238,0.546750208855472,dummy,embed_lgbm,lgbm
29,npv,0.5179856115107914,0.5,0.5282638414217361,dummy,embed_lgbm,lgbm
30,f1,0.5309442923204526,0.5117737815211069,0.5276743943191311,dummy,embed_lgbm,lgbm
31,bal-acc,0.5310457516339869,0.5118758843743683,0.534874686716792,dummy,embed_lgbm,lgbm
32,acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,embed_linear,linear
33,auroc,0.5,0.5,0.5,dummy,embed_linear,linear
34,sens,0.5,0.5,0.5,dummy,embed_linear,linear
35,spec,0.0,0.0,0.0,dummy,embed_linear,linear
36,ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,embed_linear,linear
37,npv,,,,dummy,embed_linear,linear
38,f1,0.34,0.3388704318936877,0.3388348615356117,dummy,embed_linear,linear
39,bal-acc,0.5,0.5,0.5,dummy,embed_linear,linear
40,acc,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,wrap,none
41,auroc,0.5,0.5,0.5,dummy,wrap,none
42,sens,0.5,0.5,0.5,dummy,wrap,none
43,spec,0.0,0.0,0.0,dummy,wrap,none
44,ppv,0.5151515151515151,0.5125628140703518,0.5125641025641026,dummy,wrap,none
45,npv,,,,dummy,wrap,none
46,f1,0.34,0.3388704318936877,0.3388348615356117,dummy,wrap,none
47,bal-acc,0.5,0.5,0.5,dummy,wrap,none
48,acc,1.0,0.7537688442211056,0.7435897435897436,knn,none,none
49,auroc,1.0,0.9728118051344249,0.8861942355889724,knn,none,none
50,sens,1.0,0.7474226804123711,0.736578947368421,knn,none,none
51,spec,1.0,0.4948453608247423,0.5031578947368421,knn,none,none
52,ppv,1.0,0.6754966887417219,0.6759520651762031,knn,none,none
53,npv,1.0,1.0,0.9466666666666667,knn,none,none
54,f1,1.0,0.7341965380945891,0.72343853339726,knn,none,none
55,bal-acc,1.0,0.7474226804123711,0.736578947368421,knn,none,none
56,acc,1.0,0.7688442211055276,0.7487179487179487,knn,assoc,none
57,auroc,1.0,0.9169193450576107,0.822437343358396,knn,assoc,none
58,sens,1.0,0.7644026682838083,0.7436340852130326,knn,assoc,none
59,spec,1.0,0.5876288659793815,0.5563157894736841,knn,assoc,none
60,ppv,1.0,0.7058823529411765,0.6888275862068965,knn,assoc,none
61,npv,1.0,0.9047619047619048,0.8884848484848484,knn,assoc,none
62,f1,1.0,0.7596113445378152,0.7370195303928022,knn,assoc,none
63,bal-acc,1.0,0.7644026682838083,0.7436340852130326,knn,assoc,none
64,acc,0.98989898989899,0.9748743718592965,0.96,knn,pred,none
65,auroc,1.0,0.9948453608247423,0.9847368421052632,knn,pred,none
66,sens,0.9895833333333333,0.9742268041237113,0.9594736842105263,knn,pred,none
67,spec,0.9791666666666666,0.9484536082474226,0.9189473684210526,knn,pred,none
68,ppv,0.9807692307692307,0.9532710280373832,0.9310935441370223,knn,pred,none
69,npv,1.0,1.0,1.0,knn,pred,none
70,f1,0.9898824731732243,0.9748107642844485,0.9596719070403281,knn,pred,none
71,bal-acc,0.9895833333333333,0.9742268041237113,0.9594736842105263,knn,pred,none
72,acc,1.0,0.914572864321608,0.8542307692307693,knn,embed_lgbm,lgbm
73,auroc,1.0,0.9123711340206185,0.8515288220551378,knn,embed_lgbm,lgbm
74,sens,1.0,0.9123711340206185,0.8515288220551378,knn,embed_lgbm,lgbm
75,spec,1.0,0.8247422680412371,0.7321052631578947,knn,embed_lgbm,lgbm
76,ppv,1.0,0.8571428571428571,0.7921794871794872,knn,embed_lgbm,lgbm
