metric,trainset,holdout,5-fold,model,selection,embed_selector
spec,1.0,1.0,1.0,knn,wrap,none
ppv,1.0,1.0,1.0,knn,wrap,none
npv,1.0,1.0,1.0,knn,wrap,none
f1,1.0,1.0,1.0,knn,wrap,none
bal-acc,1.0,1.0,1.0,knn,wrap,none
acc,1.0,1.0,0.5125641025641026,lgbm,none,none
auroc,1.0,1.0,0.5,lgbm,none,none
sens,1.0,1.0,0.5,lgbm,none,none
spec,1.0,1.0,0.0,lgbm,none,none
ppv,1.0,1.0,0.5125641025641026,lgbm,none,none
npv,1.0,1.0,,lgbm,none,none
f1,1.0,1.0,0.3388348615356117,lgbm,none,none
bal-acc,1.0,1.0,0.5,lgbm,none,none
acc,1.0,1.0,1.0,lgbm,assoc,none
auroc,1.0,1.0,1.0,lgbm,assoc,none
sens,1.0,1.0,1.0,lgbm,assoc,none
spec,1.0,1.0,1.0,lgbm,assoc,none
ppv,1.0,1.0,1.0,lgbm,assoc,none
npv,1.0,1.0,1.0,lgbm,assoc,none
f1,1.0,1.0,1.0,lgbm,assoc,none
bal-acc,1.0,1.0,1.0,lgbm,assoc,none
acc,1.0,1.0,1.0,lgbm,pred,none
auroc,1.0,1.0,1.0,lgbm,pred,none
sens,1.0,1.0,1.0,lgbm,pred,none
spec,1.0,1.0,1.0,lgbm,pred,none
ppv,1.0,1.0,1.0,lgbm,pred,none
npv,1.0,1.0,1.0,lgbm,pred,none
f1,1.0,1.0,1.0,lgbm,pred,none
bal-acc,1.0,1.0,1.0,lgbm,pred,none
acc,1.0,1.0,0.8871794871794872,lgbm,embed_lgbm,lgbm
auroc,1.0,1.0,0.908421052631579,lgbm,embed_lgbm,lgbm
sens,1.0,1.0,0.8863157894736842,lgbm,embed_lgbm,lgbm
spec,1.0,1.0,0.8526315789473685,lgbm,embed_lgbm,lgbm
ppv,1.0,1.0,0.8923076923076924,lgbm,embed_lgbm,lgbm
npv,1.0,1.0,0.876923076923077,lgbm,embed_lgbm,lgbm
f1,1.0,1.0,0.8834239130434783,lgbm,embed_lgbm,lgbm
bal-acc,1.0,1.0,0.8863157894736842,lgbm,embed_lgbm,lgbm
acc,1.0,1.0,1.0,lgbm,embed_linear,linear
auroc,1.0,1.0,1.0,lgbm,embed_linear,linear
