,metric,trainset,holdout,5-fold,model,selection,embed_selector
84,ppv,1.0,0.8888888888888888,0.8085284280936456,knn,embed_linear,linear
85,npv,1.0,1.0,1.0,knn,embed_linear,linear
86,f1,1.0,0.9350691096110575,0.8729136740022438,knn,embed_linear,linear
87,bal-acc,1.0,0.9336734693877551,0.8723684210526315,knn,embed_linear,linear
88,acc,1.0,1.0,1.0,knn,wrap,none
89,auroc,1.0,1.0,1.0,knn,wrap,none
90,sens,1.0,1.0,1.0,knn,wrap,none
91,spec,1.0,1.0,1.0,knn,wrap,none
92,ppv,1.0,1.0,1.0,knn,wrap,none
93,npv,1.0,1.0,1.0,knn,wrap,none
94,f1,1.0,1.0,1.0,knn,wrap,none
95,bal-acc,1.0,1.0,1.0,knn,wrap,none
96,acc,1.0,1.0,0.5148780487804878,lgbm,none,none
97,auroc,1.0,1.0,0.5,lgbm,none,none
98,sens,1.0,1.0,0.5,lgbm,none,none
99,spec,1.0,1.0,0.0,lgbm,none,none
100,ppv,1.0,1.0,0.5148780487804878,lgbm,none,none
101,npv,1.0,1.0,,lgbm,none,none
102,f1,1.0,1.0,0.33985545566719544,lgbm,none,none
103,bal-acc,1.0,1.0,0.5,lgbm,none,none
104,acc,1.0,1.0,0.5148780487804878,lgbm,assoc,none
105,auroc,1.0,1.0,0.5,lgbm,assoc,none
106,sens,1.0,1.0,0.5,lgbm,assoc,none
107,spec,1.0,1.0,0.0,lgbm,assoc,none
108,ppv,1.0,1.0,0.5148780487804878,lgbm,assoc,none
109,npv,1.0,1.0,,lgbm,assoc,none
110,f1,1.0,1.0,0.33985545566719544,lgbm,assoc,none
111,bal-acc,1.0,1.0,0.5,lgbm,assoc,none
112,acc,1.0,1.0,1.0,lgbm,pred,none
113,auroc,1.0,1.0,1.0,lgbm,pred,none
114,sens,1.0,1.0,1.0,lgbm,pred,none
115,spec,1.0,1.0,1.0,lgbm,pred,none
116,ppv,1.0,1.0,1.0,lgbm,pred,none
117,npv,1.0,1.0,1.0,lgbm,pred,none
118,f1,1.0,1.0,1.0,lgbm,pred,none
119,bal-acc,1.0,1.0,1.0,lgbm,pred,none
120,acc,1.0,1.0,0.5148780487804878,lgbm,embed_lgbm,lgbm
121,auroc,1.0,1.0,0.5,lgbm,embed_lgbm,lgbm
122,sens,1.0,1.0,0.5,lgbm,embed_lgbm,lgbm
123,spec,1.0,1.0,0.0,lgbm,embed_lgbm,lgbm
124,ppv,1.0,1.0,0.5148780487804878,lgbm,embed_lgbm,lgbm
125,npv,1.0,1.0,,lgbm,embed_lgbm,lgbm
126,f1,1.0,1.0,0.33985545566719544,lgbm,embed_lgbm,lgbm
127,bal-acc,1.0,1.0,0.5,lgbm,embed_lgbm,lgbm
128,acc,1.0,1.0,1.0,lgbm,embed_linear,linear
129,auroc,1.0,1.0,1.0,lgbm,embed_linear,linear
130,sens,1.0,1.0,1.0,lgbm,embed_linear,linear
131,spec,1.0,1.0,1.0,lgbm,embed_linear,linear
132,ppv,1.0,1.0,1.0,lgbm,embed_linear,linear
133,npv,1.0,1.0,1.0,lgbm,embed_linear,linear
134,f1,1.0,1.0,1.0,lgbm,embed_linear,linear
135,bal-acc,1.0,1.0,1.0,lgbm,embed_linear,linear
136,acc,1.0,1.0,0.5148780487804878,lgbm,wrap,none
137,auroc,1.0,1.0,0.5,lgbm,wrap,none
138,sens,1.0,1.0,0.5,lgbm,wrap,none
139,spec,1.0,1.0,0.0,lgbm,wrap,none
140,ppv,1.0,1.0,0.5148780487804878,lgbm,wrap,none
141,npv,1.0,1.0,,lgbm,wrap,none
142,f1,1.0,1.0,0.33985545566719544,lgbm,wrap,none
143,bal-acc,1.0,1.0,0.5,lgbm,wrap,none
144,acc,1.0,1.0,0.9951219512195122,lr,none,none
145,auroc,1.0,1.0,1.0,lr,none,none
146,sens,1.0,1.0,0.9949999999999999,lr,none,none
147,spec,1.0,1.0,0.99,lr,none,none
148,ppv,1.0,1.0,0.990909090909091,lr,none,none
149,npv,1.0,1.0,1.0,lr,none,none
150,f1,1.0,1.0,0.9951103160405486,lr,none,none
151,bal-acc,1.0,1.0,0.9949999999999999,lr,none,none
152,acc,1.0,1.0,0.9901219512195123,lr,assoc,none
153,auroc,1.0,1.0,1.0,lr,assoc,none
154,sens,1.0,1.0,0.9897368421052631,lr,assoc,none
155,spec,1.0,1.0,0.9794736842105263,lr,assoc,none
156,ppv,1.0,1.0,0.9818181818181818,lr,assoc,none
157,npv,1.0,1.0,1.0,lr,assoc,none
158,f1,1.0,1.0,0.990082031942497,lr,assoc,none
159,bal-acc,1.0,1.0,0.9897368421052631,lr,assoc,none
160,acc,0.9933774834437086,1.0,0.9951219512195122,lr,pred,none
161,auroc,1.0,1.0,1.0,lr,pred,none
162,sens,0.9931506849315068,1.0,0.9949999999999999,lr,pred,none
163,spec,0.9863013698630136,1.0,0.99,lr,pred,none
164,ppv,0.9873417721518988,1.0,0.990909090909091,lr,pred,none
165,npv,1.0,1.0,1.0,lr,pred,none
166,f1,0.9933670107621348,1.0,0.9951103160405486,lr,pred,none
167,bal-acc,0.9931506849315068,1.0,0.9949999999999999,lr,pred,none
168,acc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
169,auroc,1.0,1.0,1.0,lr,embed_lgbm,lgbm
170,sens,1.0,1.0,1.0,lr,embed_lgbm,lgbm
171,spec,1.0,1.0,1.0,lr,embed_lgbm,lgbm
172,ppv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
173,npv,1.0,1.0,1.0,lr,embed_lgbm,lgbm
174,f1,1.0,1.0,1.0,lr,embed_lgbm,lgbm
