metric,trainset,holdout,5-fold,model,selection,embed_selector
acc,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,none,none
auroc,0.5,0.5,0.5,dummy,none,none
sens,0.5,0.5,0.5,dummy,none,none
spec,0.0,0.0,0.0,dummy,none,none
ppv,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,none,none
npv,,,,dummy,none,none
f1,0.3406113537117904,0.33986928104575165,0.33985545566719544,dummy,none,none
bal-acc,0.5,0.5,0.5,dummy,none,none
acc,0.4966887417218543,0.5346534653465347,0.5054878048780488,dummy,assoc,none
auroc,0.5,0.5,0.5,dummy,assoc,none
sens,0.49547769582016155,0.534831240188383,0.5084586466165414,dummy,assoc,none
spec,0.4589041095890411,0.5408163265306123,0.5826315789473684,dummy,assoc,none
ppv,0.5123456790123457,0.55,0.5236940836940838,dummy,assoc,none
npv,0.4785714285714286,0.5196078431372549,0.49297621375040723,dummy,assoc,none
f1,0.49527202357391037,0.534607843137255,0.49764991364127126,dummy,assoc,none
bal-acc,0.49547769582016155,0.534831240188383,0.5084586466165414,dummy,assoc,none
acc,0.5397350993377483,0.5445544554455446,0.4451219512195122,dummy,pred,none
auroc,0.5271777309448542,0.554945054945055,0.5495488721804511,dummy,pred,none
sens,0.53824200913242,0.5447409733124018,0.4458771929824561,dummy,pred,none
spec,0.4931506849315068,0.5510204081632653,0.44842105263157894,dummy,pred,none
ppv,0.5515151515151515,0.56,0.45476190476190476,dummy,pred,none
npv,0.5255474452554745,0.5294117647058824,0.43461890019165555,dummy,pred,none
f1,0.5379060577039507,0.5445098039215687,0.44278159107427406,dummy,pred,none
bal-acc,0.53824200913242,0.5447409733124018,0.4458771929824561,dummy,pred,none
acc,0.5165562913907285,0.4900990099009901,0.48451219512195126,dummy,embed_lgbm,lgbm
auroc,0.5,0.5,0.5,dummy,embed_lgbm,lgbm
sens,0.5153670530382859,0.4903846153846154,0.48392230576441103,dummy,embed_lgbm,lgbm
spec,0.4794520547945205,0.5,0.4673684210526316,dummy,embed_lgbm,lgbm
ppv,0.5308641975308642,0.5050505050505051,0.4987063492063492,dummy,embed_lgbm,lgbm
npv,0.5,0.47572815533980584,0.46949043062200957,dummy,embed_lgbm,lgbm
f1,0.5151954963275718,0.49008651324657504,0.4803330088271764,dummy,embed_lgbm,lgbm
bal-acc,0.5153670530382859,0.4903846153846154,0.48392230576441103,dummy,embed_lgbm,lgbm
acc,0.4900662251655629,0.4900990099009901,0.534390243902439,dummy,embed_linear,linear
auroc,0.5233140147523709,0.5135400313971743,0.5586215538847117,dummy,embed_linear,linear
sens,0.4903846153846154,0.4912676609105181,0.534310776942356,dummy,embed_linear,linear
spec,0.5,0.5306122448979592,0.4905263157894736,dummy,embed_linear,linear
ppv,0.5067567567567568,0.5053763440860215,0.5350769230769231,dummy,embed_linear,linear
npv,0.474025974025974,0.47706422018348627,0.5384126984126985,dummy,embed_linear,linear
f1,0.4900438596491228,0.4897864096716447,0.5261137473197353,dummy,embed_linear,linear
bal-acc,0.4903846153846154,0.4912676609105181,0.534310776942356,dummy,embed_linear,linear
acc,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,wrap,none
auroc,0.5,0.5,0.5,dummy,wrap,none
sens,0.5,0.5,0.5,dummy,wrap,none
spec,0.0,0.0,0.0,dummy,wrap,none
ppv,0.5165562913907285,0.5148514851485149,0.5148780487804878,dummy,wrap,none
npv,,,,dummy,wrap,none
f1,0.3406113537117904,0.33986928104575165,0.33985545566719544,dummy,wrap,none
