,metric,trainset,holdout,5-fold,model,selection,embed_selector
85,npv,,,0.6909709989258861,gandalf,embed_linear,linear
86,f1,0.3394980184940555,0.3403693931398417,0.611309800484473,gandalf,embed_linear,linear
87,bal-acc,0.5,0.5,0.7056514913657771,gandalf,embed_linear,linear
88,acc,1.0,1.0,0.9879999999999999,gandalf,wrap,none
89,auroc,1.0,1.0,1.0,gandalf,wrap,none
90,sens,1.0,1.0,0.9875,gandalf,wrap,none
91,spec,1.0,1.0,0.975,gandalf,wrap,none
92,ppv,1.0,1.0,0.9793103448275862,gandalf,wrap,none
93,npv,1.0,1.0,1.0,gandalf,wrap,none
94,f1,1.0,1.0,0.9878787878787879,gandalf,wrap,none
95,bal-acc,1.0,1.0,0.9875,gandalf,wrap,none
96,acc,0.79,0.8,0.75,knn,none,none
97,auroc,0.9427871451217754,0.9145364853610097,0.9107790712438822,knn,none,none
98,sens,0.784511056668428,0.7940290857838426,0.7429912349555207,knn,none,none
99,spec,0.588477366255144,0.6074380165289256,0.5167517006802722,knn,none,none
100,ppv,0.7159090909090909,0.7270114942528736,0.6825108119225767,knn,none,none
101,npv,0.9662162162162162,0.9671052631578947,0.9442753623188406,knn,none,none
102,f1,0.7795220037040304,0.7905881958754251,0.7324113260931612,knn,none,none
103,bal-acc,0.784511056668428,0.7940290857838426,0.7429912349555207,knn,none,none
104,acc,1.0,0.832,0.8319999999999999,knn,assoc,none
105,auroc,1.0,0.9264526875520533,0.934884963600825,knn,assoc,none
106,sens,1.0,0.827855724261644,0.8273594053005817,knn,assoc,none
107,spec,1.0,0.6983471074380165,0.6857142857142857,knn,assoc,none
108,ppv,1.0,0.771875,0.7676213211410896,knn,assoc,none
109,npv,1.0,0.9388888888888889,0.9540503124326654,knn,assoc,none
110,f1,1.0,0.8278095737876974,0.8268290407868772,knn,assoc,none
111,bal-acc,1.0,0.827855724261644,0.8273594053005817,knn,assoc,none
112,acc,0.98,0.978,0.974,knn,pred,none
113,auroc,1.0,0.9958677685950413,0.9876700680272108,knn,pred,none
114,sens,0.9794238683127572,0.9772727272727273,0.9732993197278912,knn,pred,none
115,spec,0.9588477366255144,0.9545454545454546,0.9465986394557824,knn,pred,none
116,ppv,0.9625468164794008,0.9591078066914498,0.9530214424951267,knn,pred,none
117,npv,1.0,1.0,1.0,knn,pred,none
118,f1,0.9799538135865034,0.9779356603856846,0.9738787636654281,knn,pred,none
119,bal-acc,0.9794238683127572,0.9772727272727273,0.9732993197278912,knn,pred,none
120,acc,0.93,0.94,0.9480000000000001,knn,embed_lgbm,lgbm
121,auroc,0.9885910553874238,0.983967582804792,0.9772551809185213,knn,embed_lgbm,lgbm
122,sens,0.9287681542329186,0.938913447370107,0.9463860544217686,knn,embed_lgbm,lgbm
123,spec,0.8847736625514403,0.9049586776859504,0.8927721088435374,knn,embed_lgbm,lgbm
124,ppv,0.8992805755395683,0.916058394160584,0.9086941491660184,knn,embed_lgbm,lgbm
125,npv,0.9684684684684685,0.9690265486725663,1.0,knn,embed_lgbm,lgbm
126,f1,0.9296553110240177,0.9397532292269135,0.9476236582339496,knn,embed_lgbm,lgbm
127,bal-acc,0.9287681542329186,0.938913447370107,0.9463860544217686,knn,embed_lgbm,lgbm
128,acc,0.75,0.754,0.672,knn,embed_linear,linear
129,auroc,0.9100734976221357,0.8870203087962074,0.8719711923230831,knn,embed_linear,linear
130,sens,0.743022529663256,0.7461240310077519,0.6621958398744112,knn,embed_linear,linear
131,spec,0.49382716049382713,0.5,0.3436224489795919,knn,embed_linear,linear
132,ppv,0.6746031746031746,0.6790450928381963,0.6155420150059916,knn,embed_linear,linear
133,npv,0.9836065573770492,0.983739837398374,0.9508626639061422,knn,embed_linear,linear
134,f1,0.7303419264372775,0.7346564556142812,0.6270184430153268,knn,embed_linear,linear
135,bal-acc,0.743022529663256,0.7461240310077519,0.6621958398744112,knn,embed_linear,linear
136,acc,0.958,0.914,0.932,knn,wrap,none
137,auroc,0.9996397175385502,0.989885642898328,0.9901095053405978,knn,wrap,none
138,sens,0.9567901234567902,0.9111570247933884,0.9296768707482993,knn,wrap,none
139,spec,0.9135802469135802,0.8223140495867769,0.8593537414965986,knn,wrap,none
140,ppv,0.9244604316546763,0.8571428571428571,0.8851817516445774,knn,wrap,none
141,npv,1.0,1.0,1.0,knn,wrap,none
142,f1,0.9577931866144106,0.9127856270713414,0.9311002123428743,knn,wrap,none
143,bal-acc,0.9567901234567902,0.9111570247933884,0.9296768707482993,knn,wrap,none
144,acc,1.0,1.0,1.0,lgbm,none,none
145,auroc,1.0,1.0,1.0,lgbm,none,none
146,sens,1.0,1.0,1.0,lgbm,none,none
147,spec,1.0,1.0,1.0,lgbm,none,none
148,ppv,1.0,1.0,1.0,lgbm,none,none
149,npv,1.0,1.0,1.0,lgbm,none,none
150,f1,1.0,1.0,1.0,lgbm,none,none
151,bal-acc,1.0,1.0,1.0,lgbm,none,none
152,acc,1.0,1.0,1.0,lgbm,assoc,none
153,auroc,1.0,1.0,1.0,lgbm,assoc,none
154,sens,1.0,1.0,1.0,lgbm,assoc,none
155,spec,1.0,1.0,1.0,lgbm,assoc,none
156,ppv,1.0,1.0,1.0,lgbm,assoc,none
157,npv,1.0,1.0,1.0,lgbm,assoc,none
158,f1,1.0,1.0,1.0,lgbm,assoc,none
159,bal-acc,1.0,1.0,1.0,lgbm,assoc,none
160,acc,1.0,1.0,1.0,lgbm,pred,none
161,auroc,1.0,1.0,1.0,lgbm,pred,none
162,sens,1.0,1.0,1.0,lgbm,pred,none
163,spec,1.0,1.0,1.0,lgbm,pred,none
164,ppv,1.0,1.0,1.0,lgbm,pred,none
165,npv,1.0,1.0,1.0,lgbm,pred,none
166,f1,1.0,1.0,1.0,lgbm,pred,none
167,bal-acc,1.0,1.0,1.0,lgbm,pred,none
168,acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
169,auroc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
170,sens,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
171,spec,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
172,ppv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
173,npv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
174,f1,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
