metric,trainset,holdout,5-fold,model,selection,embed_selector
bal-acc,0.9814814814814814,0.981404958677686,0.9916666666666666,gandalf,embed_lgbm,lgbm
acc,0.514,0.516,0.6960000000000001,gandalf,embed_linear,linear
auroc,0.9999359497846312,1.0,0.9987192954104719,gandalf,embed_linear,linear
sens,0.5,0.5,0.7056514913657771,gandalf,embed_linear,linear
spec,0.0,0.0,0.9959183673469388,gandalf,embed_linear,linear
ppv,0.514,0.516,0.9935897435897436,gandalf,embed_linear,linear
npv,,,0.6909709989258861,gandalf,embed_linear,linear
f1,0.3394980184940555,0.3403693931398417,0.611309800484473,gandalf,embed_linear,linear
bal-acc,0.5,0.5,0.7056514913657771,gandalf,embed_linear,linear
acc,1.0,1.0,0.9879999999999999,gandalf,wrap,none
auroc,1.0,1.0,1.0,gandalf,wrap,none
sens,1.0,1.0,0.9875,gandalf,wrap,none
spec,1.0,1.0,0.975,gandalf,wrap,none
ppv,1.0,1.0,0.9793103448275862,gandalf,wrap,none
npv,1.0,1.0,1.0,gandalf,wrap,none
f1,1.0,1.0,0.9878787878787879,gandalf,wrap,none
bal-acc,1.0,1.0,0.9875,gandalf,wrap,none
acc,0.79,0.8,0.75,knn,none,none
auroc,0.9427871451217754,0.9145364853610097,0.9107790712438822,knn,none,none
sens,0.784511056668428,0.7940290857838426,0.7429912349555207,knn,none,none
spec,0.588477366255144,0.6074380165289256,0.5167517006802722,knn,none,none
ppv,0.7159090909090909,0.7270114942528736,0.6825108119225767,knn,none,none
npv,0.9662162162162162,0.9671052631578947,0.9442753623188406,knn,none,none
f1,0.7795220037040304,0.7905881958754251,0.7324113260931612,knn,none,none
bal-acc,0.784511056668428,0.7940290857838426,0.7429912349555207,knn,none,none
acc,1.0,0.832,0.8319999999999999,knn,assoc,none
auroc,1.0,0.9264526875520533,0.934884963600825,knn,assoc,none
sens,1.0,0.827855724261644,0.8273594053005817,knn,assoc,none
spec,1.0,0.6983471074380165,0.6857142857142857,knn,assoc,none
ppv,1.0,0.771875,0.7676213211410896,knn,assoc,none
npv,1.0,0.9388888888888889,0.9540503124326654,knn,assoc,none
f1,1.0,0.8278095737876974,0.8268290407868772,knn,assoc,none
bal-acc,1.0,0.827855724261644,0.8273594053005817,knn,assoc,none
acc,0.98,0.978,0.974,knn,pred,none
