,metric,trainset,holdout,5-fold,model,selection,embed_selector
78,f1,0.9099729390799287,0.9513566525008172,0.6330327762043928,gandalf,embed_lgbm,lgbm
79,bal-acc,0.9083333333333333,0.9504132231404958,0.6961666666666668,gandalf,embed_lgbm,lgbm
80,acc,0.9717741935483871,0.9919354838709677,0.9277551020408161,gandalf,embed_linear,linear
81,auroc,0.9998046875,1.0,0.9983599999999999,gandalf,embed_linear,linear
82,sens,0.9708333333333333,0.9917355371900827,0.9282692307692308,gandalf,embed_linear,linear
83,spec,0.9416666666666667,0.9834710743801653,0.975,gandalf,embed_linear,linear
84,ppv,0.9481481481481482,0.9844961240310077,0.9777142857142858,gandalf,embed_linear,linear
85,npv,1.0,1.0,0.9006990595611285,gandalf,embed_linear,linear
86,f1,0.9716705559816576,0.9919270833333333,0.9267871882572256,gandalf,embed_linear,linear
87,bal-acc,0.9708333333333333,0.9917355371900827,0.9282692307692308,gandalf,embed_linear,linear
88,acc,1.0,1.0,0.6702857142857143,gandalf,wrap,none
89,auroc,1.0,1.0,1.0,gandalf,wrap,none
90,sens,1.0,1.0,0.6605000000000001,gandalf,wrap,none
91,spec,1.0,1.0,0.321,gandalf,wrap,none
92,ppv,1.0,1.0,0.6482745995423341,gandalf,wrap,none
93,npv,1.0,1.0,1.0,gandalf,wrap,none
94,f1,1.0,1.0,0.5737168069265919,gandalf,wrap,none
95,bal-acc,1.0,1.0,0.6605000000000001,gandalf,wrap,none
96,acc,0.7540322580645161,0.7701612903225806,0.729469387755102,knn,none,none
97,auroc,0.9583984375,0.9100344894904666,0.8756515384615385,knn,none,none
98,sens,0.7463541666666667,0.7644628099173554,0.7236410256410256,knn,none,none
99,spec,0.5083333333333333,0.5289256198347108,0.4706666666666667,knn,none,none
100,ppv,0.6810810810810811,0.6902173913043478,0.6630961123739582,knn,none,none
101,npv,0.9682539682539683,1.0,0.9571428571428571,knn,none,none
102,f1,0.7358892438764644,0.7543060745633093,0.7038530533817315,knn,none,none
103,bal-acc,0.7463541666666667,0.7644628099173554,0.7236410256410256,knn,none,none
104,acc,1.0,0.782258064516129,0.7942857142857144,knn,assoc,none
105,auroc,1.0,0.9022255482527494,0.8986305128205128,knn,assoc,none
106,sens,1.0,0.7792021865035466,0.7914102564102563,knn,assoc,none
107,spec,1.0,0.6528925619834711,0.6526666666666667,knn,assoc,none
108,ppv,1.0,0.732484076433121,0.7422549822549823,knn,assoc,none
109,npv,1.0,0.8681318681318682,0.9057993449095886,knn,assoc,none
110,f1,1.0,0.777571086898751,0.7870510925696371,knn,assoc,none
111,bal-acc,1.0,0.7792021865035466,0.7914102564102563,knn,assoc,none
112,acc,0.9516129032258065,0.9516129032258065,0.9555918367346938,knn,pred,none
113,auroc,1.0,1.0,1.0,knn,pred,none
114,sens,0.95,0.9504132231404958,0.9548333333333334,knn,pred,none
115,spec,0.9,0.9008264462809917,0.9096666666666667,knn,pred,none
116,ppv,0.9142857142857143,0.9136690647482014,0.9213555920452473,knn,pred,none
117,npv,1.0,1.0,1.0,knn,pred,none
118,f1,0.9512961508248232,0.9513566525008172,0.9553470124058154,knn,pred,none
119,bal-acc,0.95,0.9504132231404958,0.9548333333333334,knn,pred,none
120,acc,0.5161290322580645,0.5120967741935484,0.5286530612244899,knn,embed_lgbm,lgbm
121,auroc,0.5529296875,0.6185332205375155,0.5709194871794872,knn,embed_lgbm,lgbm
122,sens,0.5,0.5,0.5252948717948718,knn,embed_lgbm,lgbm
123,spec,0.0,0.0,0.3216666666666667,knn,embed_lgbm,lgbm
124,ppv,0.5161290322580645,0.5120967741935484,0.5178735247537375,knn,embed_lgbm,lgbm
125,npv,,,0.6967105263157894,knn,embed_lgbm,lgbm
126,f1,0.3404255319148936,0.33866666666666667,0.4794143475521186,knn,embed_lgbm,lgbm
127,bal-acc,0.5,0.5,0.5252948717948718,knn,embed_lgbm,lgbm
128,acc,0.8991935483870968,0.8467741935483871,0.842530612244898,knn,embed_linear,linear
129,auroc,0.9822591145833333,0.936552352443548,0.8990805128205128,knn,embed_linear,linear
130,sens,0.8966145833333333,0.843560877204399,0.839628205128205,knn,embed_linear,linear
131,spec,0.8166666666666667,0.7107438016528925,0.7023333333333334,knn,embed_linear,linear
132,ppv,0.8503401360544217,0.779874213836478,0.7790674603174603,knn,embed_linear,linear
133,npv,0.9702970297029703,0.9662921348314607,0.9707070707070707,knn,embed_linear,linear
134,f1,0.8979843685726039,0.843090243090243,0.8373285275092277,knn,embed_linear,linear
135,bal-acc,0.8966145833333333,0.843560877204399,0.839628205128205,knn,embed_linear,linear
136,acc,1.0,1.0,1.0,knn,wrap,none
137,auroc,1.0,1.0,1.0,knn,wrap,none
138,sens,1.0,1.0,1.0,knn,wrap,none
139,spec,1.0,1.0,1.0,knn,wrap,none
140,ppv,1.0,1.0,1.0,knn,wrap,none
141,npv,1.0,1.0,1.0,knn,wrap,none
142,f1,1.0,1.0,1.0,knn,wrap,none
143,bal-acc,1.0,1.0,1.0,knn,wrap,none
144,acc,1.0,1.0,1.0,lgbm,none,none
145,auroc,1.0,1.0,1.0,lgbm,none,none
146,sens,1.0,1.0,1.0,lgbm,none,none
147,spec,1.0,1.0,1.0,lgbm,none,none
148,ppv,1.0,1.0,1.0,lgbm,none,none
149,npv,1.0,1.0,1.0,lgbm,none,none
150,f1,1.0,1.0,1.0,lgbm,none,none
151,bal-acc,1.0,1.0,1.0,lgbm,none,none
152,acc,1.0,1.0,1.0,lgbm,assoc,none
153,auroc,1.0,1.0,1.0,lgbm,assoc,none
154,sens,1.0,1.0,1.0,lgbm,assoc,none
155,spec,1.0,1.0,1.0,lgbm,assoc,none
156,ppv,1.0,1.0,1.0,lgbm,assoc,none
157,npv,1.0,1.0,1.0,lgbm,assoc,none
158,f1,1.0,1.0,1.0,lgbm,assoc,none
159,bal-acc,1.0,1.0,1.0,lgbm,assoc,none
160,acc,1.0,1.0,1.0,lgbm,pred,none
161,auroc,1.0,1.0,1.0,lgbm,pred,none
162,sens,1.0,1.0,1.0,lgbm,pred,none
163,spec,1.0,1.0,1.0,lgbm,pred,none
164,ppv,1.0,1.0,1.0,lgbm,pred,none
165,npv,1.0,1.0,1.0,lgbm,pred,none
166,f1,1.0,1.0,1.0,lgbm,pred,none
167,bal-acc,1.0,1.0,1.0,lgbm,pred,none
168,acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
169,auroc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
170,sens,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
171,spec,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
172,ppv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
173,npv,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
174,f1,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
