,metric,trainset,holdout,5-fold,model,selection,embed_selector
84,ppv,0.639412997903564,0.6207951070336392,0.6229890798590437,knn,embed_linear,linear
85,npv,0.967479674796748,0.958904109589041,0.8201238390092879,knn,embed_linear,linear
86,f1,0.6754803259947635,0.6430353240438196,0.6434147673205353,knn,embed_linear,linear
87,bal-acc,0.6979948620425049,0.6731308177359624,0.6624890086379175,knn,embed_linear,linear
88,acc,1.0,1.0,1.0,knn,wrap,none
89,auroc,1.0,1.0,1.0,knn,wrap,none
90,sens,1.0,1.0,1.0,knn,wrap,none
91,spec,1.0,1.0,1.0,knn,wrap,none
92,ppv,1.0,1.0,1.0,knn,wrap,none
93,npv,1.0,1.0,1.0,knn,wrap,none
94,f1,1.0,1.0,1.0,knn,wrap,none
95,bal-acc,1.0,1.0,1.0,knn,wrap,none
96,acc,1.0,1.0,0.515,lgbm,none,none
97,auroc,1.0,1.0,0.5,lgbm,none,none
98,sens,1.0,1.0,0.5,lgbm,none,none
99,spec,1.0,1.0,0.0,lgbm,none,none
100,ppv,1.0,1.0,0.515,lgbm,none,none
101,npv,1.0,1.0,,lgbm,none,none
102,f1,1.0,1.0,0.33992683918168265,lgbm,none,none
103,bal-acc,1.0,1.0,0.5,lgbm,none,none
104,acc,1.0,1.0,1.0,lgbm,assoc,none
105,auroc,1.0,1.0,1.0,lgbm,assoc,none
106,sens,1.0,1.0,1.0,lgbm,assoc,none
107,spec,1.0,1.0,1.0,lgbm,assoc,none
108,ppv,1.0,1.0,1.0,lgbm,assoc,none
109,npv,1.0,1.0,1.0,lgbm,assoc,none
110,f1,1.0,1.0,1.0,lgbm,assoc,none
111,bal-acc,1.0,1.0,1.0,lgbm,assoc,none
112,acc,1.0,1.0,1.0,lgbm,pred,none
113,auroc,1.0,1.0,1.0,lgbm,pred,none
114,sens,1.0,1.0,1.0,lgbm,pred,none
115,spec,1.0,1.0,1.0,lgbm,pred,none
116,ppv,1.0,1.0,1.0,lgbm,pred,none
117,npv,1.0,1.0,1.0,lgbm,pred,none
118,f1,1.0,1.0,1.0,lgbm,pred,none
119,bal-acc,1.0,1.0,1.0,lgbm,pred,none
120,acc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
121,auroc,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
122,sens,1.0,1.0,1.0,lgbm,embed_lgbm,lgbm
